ville_id,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
30438,75,paris,PARIS,paris,Paris,P620,PRS,75001-75002-75003-75004-75005-75006-75007-75008-75009-75010-75011-75012-75013-75014-75015-75016-75017-75018-75019-75020-75116,56,75056,1,99,1,2243833,2125851,2211000,21288,105.4,2.34445,48.86,9,54289,22040,485136,0,0
4440,13,marseille,MARSEILLE,marseille,Marseille,M624,MRSL,13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016,55,13055,3,99,2,850726,797491,851400,3535,240.62,5.37639,43.2967,3377,48107,52235,431748,0,640
28153,69,lyon,LYON,lyon,Lyon,L500,LYN,69001-69002-69003-69004-69005-69006-69007-69008-69009,123,69123,1,99,2,484344,445274,474900,10117,47.87,4.84139,45.7589,2783,50843,45029,454532,162,312
11719,31,toulouse,TOULOUSE,toulouse,Toulouse,T420,TLS,31000-31100-31200-31300-31400-31500,555,31555,3,99,2,441802,390301,439600,3734,118.3,1.43333,43.6,-994,48449,12631,433616,115,263
2050,6,nice,NICE,nice,Nice,N200,NS,06000-06100-06200-06300,88,6088,2,99,3,343304,343123,344900,4773,71.92,7.25,43.7,5480,48558,71606,434207,0,520
16756,44,nantes,NANTES,nantes,Nantes,N320,NNTS,44000-44100-44200-44300,109,44109,2,99,2,284970,270343,283300,4371,65.19,-1.55,47.2167,-4323,52464,-13314,471302,2,52
27304,67,strasbourg,STRASBOURG,strasbourg,Strasbourg,S362162,STRSBRK,67000-67100-67200,482,67482,8,99,2,271782,263941,272100,3472,78.26,7.75,48.5833,6013,53982,74453,483501,132,151
13339,34,montpellier,MONTPELLIER,montpellier,Montpellier,M3146,MNTPLR,34000-34070-34080-34090,172,34172,3,99,2,257351,225511,253000,4524,56.88,3.88333,43.6,1711,48457,35236,433640,7,121
12679,33,bordeaux,BORDEAUX,bordeaux,Bordeaux,B632,BRTKS,33000-33100-33200-33300-33800,63,33063,2,99,2,239157,215374,235900,4845,49.36,-0.566667,44.8333,-3240,49820,-3446,445016,1,42
22745,59,lille,LILLE,lille,Lille,L000,LL,59000-59160-59260-59777-59800,350,59350,5,92,2,227560,184647,225800,6533,34.83,3.06667,50.6333,801,56258,30327,503755,17,45
13468,35,rennes,RENNES,rennes,Rennes,R520,RNS,35000-35200-35700,238,35238,3,98,2,207178,206194,206700,4111,50.39,-1.68333,48.0833,-4463,53460,-14051,480651,20,74
